"","subject","activity","Mean.of.the.body.acceleration.magnitude.Time.Domain.","Mean.of.the.gravity.acceleration.magnitude.Time.Domain.","Mean.of.the.body.acceleration.magnitude.when.it.jerks.Time.Domain.","Mean.of.the.body.angular.speed.magnitude.Time.Domain.","Mean.of.the.body.angular.speed.magnitude.when.it.jerks.Time.Domain.","Mean.of.the.body.acceleration.magnitude..Frequency.Domain.","Mean.of.the.body.acceleration.magnitude.when.it.jerks.Frequency.Domain.","Mean.of.the.body.angular.speed.magnitude.Frequency.Domain.","Mean.of.the.body.angular.speed.magnitude.when.it.jerks.Frequency.Domain.","Standard.deviation.of.the.body.acceleration.magnitude.Time.Domain.","Standard.deviation.of.the.gravity.acceleration.magnitude.Time.Domain.","Standard.deviation.of.the.body.acceleration.magnitude.when.it.jerks.Time.Domain.","Standard.deviation.of.the.body.angular.speed.magnitude.Time.Domain.","Standard.deviation.of.the.body.angular.speed.magnitude.when.it.jerks.Time.Domain.","Standard.deviation.of.the.body.acceleration.magnitude.Frequency.Domain.","Standard.deviation.of.the.body.acceleration.magnitude.when.it.jerks.Frequency.Domain.","Standard.deviation.of.the.body.angular.speed.magnitude.Time.Domain..1","Standard.deviation.of.the.body.angular.speed.magnitude.when.it.jerks.Time.Domain..1"
"1","1","LAYING",0.5848976723,0.75773578404,-0.842018280168,-0.9835018098,-0.948096523348,0.002393975758,-0.0093252039692,-0.24888179828,0.4458177198,0.5848976723,0.75773578404,-0.842018280168,-0.9835018098,-0.948096523348,-0.0323307491374,0.14656522416,0.17603638864,-0.104318251058
"2","1","SITTING",0.682775776170213,0.822189592553191,-0.945740773404255,-0.997501779361702,-0.989863580425532,-0.0227195913574468,-0.201194422908511,0.831509933404255,0.332043702765957,0.682775776170213,0.822189592553191,-0.945740773404255,-0.997501779361702,-0.989863580425532,0.0410396568,-0.00412059408510638,0.1686773395,-0.129112633042553
"3","1","STANDING",0.684994965849057,0.837719699245283,-0.984382640377358,-0.999946745660377,-0.999302946415094,-0.10391130370566,-0.00543277440754717,0.942952000377358,0.0134905823226415,0.684994965849057,0.837719699245283,-0.984382640377358,-0.999946745660377,-0.999302946415094,0.113641825830189,0.0807014957641509,0.185333378811321,-0.1383467407
"4","1","WALKING",-0.0212204448494737,0.437405228105263,-0.125750238755789,-0.73948375368421,-0.758210962947368,-0.275173843664105,-0.191228477152632,0.935223201473684,-0.068102864,-0.0212204448494737,0.437405228105263,-0.125750238755789,-0.73948375368421,-0.758210962947368,-0.149185121450526,0.0799407763368421,-0.167359936813684,0.174964719959684
"5","1","WALKING_DOWNSTAIRS",-0.0437259707591837,0.304574350938775,0.00799898705102041,-0.463124815306122,-0.81285224755102,-0.291398957528571,-0.225544974216327,0.931874418979592,-0.0621199585938775,-0.0437259707591837,0.304574350938775,0.00799898705102041,-0.463124815306122,-0.81285224755102,-0.310025981922449,0.276300963816327,-0.121436208734694,0.155332861145102
"6","1","WALKING_UPSTAIRS",0.143961002516981,0.441553928867925,-0.0968125932377358,-0.788475894528302,-0.804660188867925,0.0137816554962264,-0.17700807654717,0.89335109754717,-0.075402939754717,0.143961002516981,0.441553928867925,-0.0968125932377358,-0.788475894528302,-0.804660188867925,-0.23977634310566,0.134340677858491,-0.327397149962264,0.226589616607547
"7","2","LAYING",0.683942196458333,0.838955082083333,-0.977681890625,-0.998712742291667,-0.999637563333333,-0.124408564166667,-0.199788468904167,-0.509754238125,0.646834879583333,0.683942196458333,0.838955082083333,-0.977681890625,-0.998712742291667,-0.999637563333333,-0.0110161439029167,0.075290978403125,0.298941607291667,-0.171373589208333
"8","2","SITTING",0.674028159782609,0.826309457391304,-0.966980349782609,-0.999241644565217,-0.996521418913043,-0.0397869970869565,-0.268153719565217,0.940477273043478,0.19872676876087,0.674028159782609,0.826309457391304,-0.966980349782609,-0.999241644565217,-0.996521418913043,0.0820047986478261,0.114170112521739,0.176580528906522,-0.12420554726087
"9","2","STANDING",0.673386829814815,0.828659836666667,-0.965375535555556,-0.999705046666667,-0.998935624814815,-0.138534155481481,0.0665274675074074,0.896928566851852,0.129747161222222,0.673386829814815,0.828659836666667,-0.965375535555556,-0.999705046666667,-0.998935624814815,0.0368231465462963,0.0376910751222222,0.0669120089112963,-0.0573481512425926
"10","2","WALKING",0.051569523229661,0.527792218813559,-0.289223664576271,-0.830698671186441,-0.83328023440678,-0.112078514561017,-0.0251069135101695,0.91301733338983,0.0847270871186441,0.051569523229661,0.527792218813559,-0.289223664576271,-0.830698671186441,-0.83328023440678,-0.210438884196949,0.105832245038983,-0.170066954830508,0.28822188661017
